day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,0,7,114,92,62,57,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,48,227,56,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,135,196,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,121,117,93,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,3,162,44,43,74,0,0,0,0,0,0,0,0,0,0
tuesday,0,93,0,0,0,0,0,0,71,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,196,132,3,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,0,0,0,0,179,155,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,46,71,0,104,103,37,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,127,166,41,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,4,141,108,62,0,19,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,35,15,161,123,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,57,69,96,30,73,9,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,174,155,0,6,0,0,0,0,0,0,0,0,0,0
