day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,14,76,38,188,120,115,1,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,91,0,43,208,186,22,1,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,53,300,28,43,13,87,27,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,26,90,103,188,144,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,104,78,182,30,46,112,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,33,124,114,138,142,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,5,0,241,116,132,59,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,27,127,296,101,1,1,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,39,52,111,51,124,98,76,3,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,14,27,134,121,90,141,26,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,5,0,18,61,43,55,66,249,26,32,0,1,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,145,151,88,169,4,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,101,73,23,36,60,237,27,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,11,4,180,300,61,1,0,0,0,0,0,0,0,0,0,0,0,0
