day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,56,143,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,56,71,80,26,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,81,132,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,62,58,26,33,10,31,0
monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,44,47,126,1,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,0,0,0,98,70,65,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,34,14,58,40,67,20,0,0,0,0,0,0,0,0,0,0,0,0,5,88,12,8,62,27
friday,31,0,0,0,0,0,0,0,0,0,0,8,28,39,43,53,0,62,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,50,81,61,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,51,0,58,60,12,0
monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,72,80,24,38,3,0,0
tuesday,0,0,0,0,0,0,0,0,0,0,0,29,22,174,8,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,26
