day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,342,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,12,147,188,102,83,132,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,4,310,250,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,182,47,175,220,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,162,121,160,127,97,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,144,235,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,3,303,211,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,269,42,94,39,69,0,55,91,8,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,142,279,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,135,210,319,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,106,164,246,24,57,71,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,61,106,184,23,41,55,83,66,48,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,10,231,224,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,279,234,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
