day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,0,68,114,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,61,121,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,89,0,34,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,140,0,42,0,0,0,0,0,35,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,89,16,43,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,119,0,35,40,48,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,93,0,89,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,0,0,0,0,118,8,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,101,137,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,72,0,47,5,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,130,0,0,52,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,1,108,58,34,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,204,0,0,33,40,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,82,0,42,0,0,0,0,0,0,0,0,0,0,0,0
