day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,22,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,2,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,8,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,107,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,27,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,18,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,2,101,21,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,86,38,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,59,65,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,83,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,34,52,50,47,40,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,44,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
