day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,72,335,118,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,32,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,186,172,161,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,131,385,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,431,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,13,379,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,335,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,216,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,81,398,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,323,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,250,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,190,465,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,273,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,66,303,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
