day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,25,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,199,32,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,34,175,22,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,32,143,56,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,58,166,8,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,228,122,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,123,102,5,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,78,154,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,6,354,51,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,12,166,57,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,126,107,0,0,0,0,0,0,0,0,0,0,0,0,0
