day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,191,2,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,178,109,5,1,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,147,94,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,138,101,0,1,1,1,0,0
monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,210,2,1,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,139,61,0,0,1,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,216,33,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,188,101,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,170,110,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,177,157,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,174,119,1,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,134,83,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,188,133,1,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,160,0,0,0,0,0,0,0
