day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,0,0,0,255,279,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,0,323,210,1,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,258,204,70,0,0,2,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,0,0,256,197,81,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,0,0,103,302,130,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,0,0,0,258,265,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,194,246,83,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,0,0,0,334,188,3,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,0,278,231,13,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,226,258,39,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,0,0,128,302,93,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,0,0,0,275,248,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,0,0,0,216,306,1,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,153,304,66,0,0,0,0,0,0,0,0,0,0
