day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,194,270,254,227,175,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,348,323,225,167,52,5,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,73,241,197,272,277,60,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,166,175,331,281,155,11,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,201,346,117,195,142,105,4,9,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,160,351,250,211,139,8,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,3,112,303,401,138,162,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,30,207,149,214,246,274,1,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,186,303,262,200,164,13,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,22,229,112,407,292,58,7,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,184,246,99,317,278,4,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,9,245,433,323,118,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,169,669,285,5,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,3,433,146,200,190,154,2,0,0,0,0,0,0,0,0,0,0,0
