day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,1,154,161,5,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,4,214,104,0,5,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,95,46,119,45,6,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,195,117,5,4,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,151,175,1,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,1,3,207,7,101,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,132,123,89,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,2,161,173,16,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,95,53,160,24,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,71,98,110,36,17,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,11,23,247,73,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,2,91,262,4,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,18,115,205,19,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,2,105,251,0,0,0,0,0,0,0,0,0,0,0,0,0
