day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,145,291,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,287,120,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,19,342,186,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,6,222,267,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,71,128,317,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,9,427,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,185,184,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,195,40,184,60,69,0,38,61,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,18,132,85,201,185,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,150,160,196,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,137,107,0,0,0,227,175,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,10,165,0,0,5,56,209,212,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,192,263,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,1,259,149,230,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
