day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,342,32,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,306,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,160,204,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,334,87,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,328,64,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,268,9,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,251,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,219,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,427,44,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,275,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,270,119,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,381,16,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,364,55,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,325,0,0,0,0,0,0,0,0
