day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,167,99,12,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,249
friday,162,25,75,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
saturday,289,19,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
sunday,196,155,2,35,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
monday,202,89,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,346,152,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,202,196,134,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,27,258,162,103,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,3,216,254,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,107,272,140,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,163,173,169,51,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,123,127,113,111,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,62,81,143,201,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,132,189,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
