day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,20,181,257,148,32,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,97,283,133,129,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,0,173,238,180,47,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,179,231,131,97,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,15,170,192,203,61,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,3,408,216,14,1,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,156,137,247,155,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,0,0,189,100,154,164,11,30,1,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,0,0,107,162,132,134,110,9,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,27,103,167,142,149,61,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,0,65,116,192,228,48,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,0,36,193,115,181,126,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,0,27,284,248,88,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,0,84,78,189,230,58,10,0,0,0,0,0,0,0,0,0
