day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
thursday,0,0,0,0,0,0,0,0,154,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,29,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,24,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,74,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,119,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,36,51,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,79,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thursday,0,0,0,0,0,0,0,12,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friday,0,0,0,0,0,0,0,36,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saturday,0,0,0,0,0,0,0,0,106,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sunday,0,0,0,0,0,0,0,0,171,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monday,0,0,0,0,0,0,0,82,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuesday,0,0,0,0,0,0,0,24,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wednesday,0,0,0,0,0,0,0,0,174,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
